page,interface,kind,field,flag,dtype,value,desc
21,get_report_data,PARAM,stock_list,Y,List[str],,订阅的证券代码
21,get_report_data,PARAM,callback,Y,str,,回调函数
23,get_report_data,PARAM,stock_list,Y,List[str],,证券代码
25,refresh_cache,PARAM,force,Y,bool,,是否强制刷新
25,refresh_cache,PARAM,market,Y,str,,指定刷新的市场
27,refresh_kline,PARAM,stock_list,Y,List[str],,证券代码列表，证券代码格式为6 位数+市场后缀（.SH/.SZ/.BJ等）
27,refresh_kline,PARAM,period,Y,str,,周期 1d为日线、1m为一分钟线、 5m为五分钟线，只支持这三种， 其它周期的数据均由这三种数据生 成
28,send_message,PARAM,msg_str,Y,str,,消息字符串
29,send_warn,PARAM,stock_list,Y,List[str],,证券代码列表
29,send_warn,PARAM,time_list,Y,List[str],,时间列表
29,send_warn,PARAM,price_list,N,List[str],,现价列表
29,send_warn,PARAM,close_list,N,List[str],,收盘价列表
29,send_warn,PARAM,volum_list,N,List[str],,成交额列表
29,send_warn,PARAM,bs_flag_list,N,List[str],,买卖标志：0买1卖2未知
29,send_warn,PARAM,warn_type_list,N,List[str],,预警类型：0常规预警（目前仅支 持）
29,send_warn,PARAM,reason_list,N,List[str],,预警原因
29,send_warn,PARAM,count,N,int,,有效数据个数
31,send_file,PARAM,file,Y,str,,文件路径
32,send_bt_data,PARAM,stock_code,Y,List[str],,证券代码
32,send_bt_data,PARAM,time_list,Y,List[str],,时间列表
32,send_bt_data,PARAM,data_list,N,List[List[str]],,回测数据列表
32,send_bt_data,PARAM,count,N,int,,有效数据个数
34,send_bt_data,PARAM,stock_code,Y,List[str],,证券代码
34,send_bt_data,PARAM,down_time,Y,List[str],,指定日期
34,send_bt_data,PARAM,down_type,Y,List[str],,指定下载类型
36,get_trading_dates,PARAM,market,Y,str,,市场代码（暂固定为SH）
36,get_trading_dates,PARAM,start_time,N,str,,起始日期
36,get_trading_dates,PARAM,end_time,N,str,,结束日期
36,get_trading_dates,PARAM,count,N,int,,返回最近的count个交易日
38,get_trading_dates,PARAM,df_list,Y,list[pd.DataFrame],,多组数据的DataF 表，每组table对应 DataFrame；每个 DataFrame非空且 日期（datetime64 符串类型），后续列 因子名称；列表长 组数
38,get_trading_dates,PARAM,sp_name,N,str,,生成.sp文件的名称 空时默认生成pyth
38,get_trading_dates,PARAM,xml_filename,N,str,,生成的xml文件名 含.xml后缀），为空 达信面板配置关联 填
38,get_trading_dates,PARAM,jsn_filenames,Y,list[str],,每组数据对应的.js 表，列表非空且长 组数（与df list一 _ 名建议包含.jsn后缀
38,get_trading_dates,PARAM,vertical,N,int,,纵向排列的table组 （≥1），与horizo 一，horizontal优先
40,exec_to_tdx,PARAM,url,Y,str,,功能调用串或网址
42,get_match_stkinfo,PARAM,key_word,Y,str,,关键词
42,get_match_stkinfo,RETURN,Code,Y,str,,证券代码
42,get_match_stkinfo,RETURN,Name,Y,str,,证券名称
44,get_market_data,PARAM,field_list,N,List[str],,字段筛选，传空则返回全部
44,get_market_data,PARAM,stock_list,Y,List[str],,证券代码列表
44,get_market_data,PARAM,period,Y,str,,周期
44,get_market_data,PARAM,start_time,N,str,,起始时间
44,get_market_data,PARAM,end_time,N,str,,结束时间
44,get_market_data,PARAM,count,N,int,,返回数据个数（每只股票）
44,get_market_data,PARAM,dividend_type,N,str,,复权类型 ：none不复权、front 前复权、back后复权
44,get_market_data,PARAM,fill_data,N,bool,,是否向后填充空缺数据
45,get_market_data,RETURN,Date,Y,str,,日期
45,get_market_data,RETURN,Time,Y,str,,时间
45,get_market_data,RETURN,Open,Y,str,,开盘价
45,get_market_data,RETURN,High,Y,str,,最高价
45,get_market_data,RETURN,Low,Y,str,,最低价
45,get_market_data,RETURN,Close,Y,str,,收盘价
45,get_market_data,RETURN,Volume,Y,str,,成交量
45,get_market_data,RETURN,Amount,Y,str,,成交额
45,get_market_data,RETURN,ForwardFactor,Y,str,,前复权因子，当 dividend type=none时候返回有 _ 效值
45,get_market_data,RETURN,VolInStock,N,str,,持仓量
47,get_market_snapshot,PARAM,stock_code,Y,str,,证券代码
47,get_market_snapshot,PARAM,field_list,N,List[str],,字段筛选，传空则返回全部
47,get_market_snapshot,RETURN,ItemNum,Y,str,,快照笔数
47,get_market_snapshot,RETURN,LastClose,Y,str,,前收盘价
47,get_market_snapshot,RETURN,Open,Y,str,,开盘价
47,get_market_snapshot,RETURN,Max,Y,str,,最高价
47,get_market_snapshot,RETURN,Min,Y,str,,最低价
47,get_market_snapshot,RETURN,Now,Y,str,,现价
47,get_market_snapshot,RETURN,Volume,Y,str,,总手
47,get_market_snapshot,RETURN,NowVol,Y,str,,现手
47,get_market_snapshot,RETURN,Amount,Y,str,,总成交金额
47,get_market_snapshot,RETURN,Inside,Y,str,,内盘 板块指数时为跌停家数
47,get_market_snapshot,RETURN,Outside,Y,str,,外盘 板块指数时为涨停家数
47,get_market_snapshot,RETURN,TickDiff,Y,str,,笔涨跌
47,get_market_snapshot,RETURN,InOutFlag,Y,str,,内外盘标志 0:Buy 1:Sell 2:Unknown
48,get_market_snapshot,RETURN,Jjjz,Y,str,,基金净值
48,get_market_snapshot,RETURN,Buyp,Y,List[str],,五个买价
48,get_market_snapshot,RETURN,Buyv,Y,List[str],,对应的五个买盘量
48,get_market_snapshot,RETURN,Sellp,Y,List[str],,五个卖价
48,get_market_snapshot,RETURN,Sellv,Y,List[str],,对应的五个卖盘量
48,get_market_snapshot,RETURN,UpHome,Y,str,,上涨家数 对于指数有效
48,get_market_snapshot,RETURN,DownHome,Y,str,,下跌家数 对于指数有效
48,get_market_snapshot,RETURN,Before5MinNow,Y,str,,5分钟前价格
48,get_market_snapshot,RETURN,Average,Y,str,,均价
48,get_market_snapshot,RETURN,XsFlag,Y,str,,小数位数
48,get_market_snapshot,RETURN,Zangsu,Y,str,,涨速
48,get_market_snapshot,RETURN,ZAFPre3,Y,str,,3日涨幅
50,get_stock_info,PARAM,stock_code,Y,str,,证券代码
50,get_stock_info,PARAM,field_list,Y,List[str],,字段筛选，不能为空
50,get_stock_info,RETURN,Name,Y,str,,证券名称
50,get_stock_info,RETURN,Unit,Y,str,,交易单位
50,get_stock_info,RETURN,VolBase,Y,str,,量比的基量
50,get_stock_info,RETURN,MinPrice,Y,str,,最小价格变动
50,get_stock_info,RETURN,XsFlag,Y,str,,价格小数位数
50,get_stock_info,RETURN,Fz[8],Y,List[str],,开收市时间（4段）
50,get_stock_info,RETURN,DelayMin,Y,str,,延时分钟数
50,get_stock_info,RETURN,QHVolBaseRate,Y,str,,期货期权的每手乘数
50,get_stock_info,RETURN,HKVolBaseRate,Y,str,,港股/日股/新加坡股 每手股数
50,get_stock_info,RETURN,BelongHS300,Y,str,,是否属于沪深300
50,get_stock_info,RETURN,BelongHasKQZ,Y,str,,是否含可转债
50,get_stock_info,RETURN,BelongRZRQ,Y,str,,是否是融资融券标的
50,get_stock_info,RETURN,BelongHSGT,Y,str,,是否属于沪深股通
51,get_stock_info,RETURN,IsHKGP,Y,str,,是否是港股
51,get_stock_info,RETURN,IsQH,Y,str,,是否是期货
51,get_stock_info,RETURN,IsQQ,Y,str,,是否是期权
51,get_stock_info,RETURN,IsSTGP,Y,str,,是否是ST股票
51,get_stock_info,RETURN,IsQuitGP,Y,str,,是否是退市整理板股票
